config,latency(ms),power(mWatt)
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.013898750000000015,0.02714426488748925
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.018913750000000007,0.021095670449276283
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.018929749999999995,0.021184339249567682
width_14-height_14-cin_384-cout_64-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.01894575000000001,0.02127285828531505
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.01336000000000001,0.024234205984268224
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.013399999999999995,0.024764492679746876
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.013448000000000015,0.02561925967081495
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.013472000000000012,0.025798086214175734
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.013496000000000008,0.025976276741377553
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.014919999999999989,0.0251975787919528
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.014968000000000009,0.02596415537950612
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.015016000000000002,0.027167731430538078
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.015039999999999998,0.027325443389974453
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.015063999999999994,0.027482652815286227
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.016488000000000003,0.026245460418957773
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.016535999999999995,0.02733758640712917
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.028364749999999994,0.02350267527372531
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.02838874999999999,0.023589327529202796
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.028412750000000014,0.0236758333958843
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.01727200000000001,0.02650596350426677
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.017320000000000002,0.027547931817910383
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.028366000000000002,0.01796941786359443
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.02839,0.018060743943042464
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.028413999999999995,0.0181519157446059
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.01805599999999999,0.026743844256957014
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.01810400000000001,0.027740059066732645
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.028367000000000003,0.018852764034851754
width_14-height_14-cin_384-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.028391,0.018943340171212554
